Hello there!,,,,,,,
"To make this easier on you and myself each weapon will be covered over two lines, the top line is the PvE perks, the bottom will be PvP. Hope that makes sense.",,,,,,,
"The way this works is all primary ammo weapons (white bricks) are first, then special ammo weapons (green bricks), then finally power weapons",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Note: perks are displayed in the order of importance,,,,,,,
Archetype,Type,Name,Elemental,Sights/Barrels,Magazine,Perk 1,Perk 2
,,,,"Volatile Launch, Linear Compensator","Proximity Grenades, Spike Grenades","Auto-Loading Holster, Rangefinder","Rampage, Quickdraw"
,,,,,,,
Adaptive Frame,Machine Gun,Avalanche,Y,"SLO-12 Post, SLO-10 Post, SLO-21 Post, SPO-57 Front","Appended Mag, Alloy Mag, High-Caliber Rounds, Extended Mag","Feeding Frenzy, Slideways, Threat Detector","Rampage, High-Impact Reserves, Hip-Fire Grip"
,,,,"SLO-12 Post, SLO-10 Post, SLO-21 Post, SPO-57 Front","Ricochet Rounds, High-Caliber Rounds, Armor-Piercing Rounds","Moving Target, Slideways","Rampage, Quickdraw, High-Impact Reserves"
Adaptive Frame,Machine Gun,Hammerhead,Y,"Arrowhead Brake, Chambered Compensator, Polygonal Rifling","Appended Mag, Alloy Mag, High-Caliber Rounds, Extended Mag","Feeding Frenzy, Quickdraw","Rampage, Surrounded, High-Impact Reserves"
,,,,"Arrowhead Brake, Hammer-Forged Rifling, Polygonal Rifling","Ricochet Rounds, High-Caliber Rounds, Armor-Piercing Rounds","Tap the Trigger, Quickdraw","Rampage, High-Impact Reserves, Surrounded"
,,,,,,,
Adaptive Frame,Rocket Launcher,Bellowing Giant,Y,"Hard Launch, Quick Launch, Linear Compensator","Impact Casing, Alloy Casing, Implosion Rounds","Field Prep, Tracking Module, Quickdraw","Cluster Bombs, Ambitious Assassin, Auto-Loading Holster"
,,,,"Volatile Launch, Confined Launch, Linear Compensator","Black Powder, Impact Casing, Alloy Casing","Tracking Module, Quickdraw","Cluster Bombs, Auto-Loading Holster"
Adaptive Frame,Rocket Launcher,Hoosegow XE5837,Y,"Hard Launch, Quick Launch, Linear Compensator","Impact Casing, Alloy Casing, Implosion Rounds","Field Prep, Auto-Loading Holster","Cluster Bombs, Quickdraw, Ambitious Assassin"
,,,,"Volatile Launch, Confined Launch, Linear Compensator","Black Powder, Impact Casing, Alloy Casing",Auto-Loading Holster,"Cluster Bombs, Quickdraw"
