Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Scatterhorn Boots,1704861826,"""6917529085171424105""",,Legendary,Leg Armor,tangled,Warlock,620,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Tangled Rust*,Shotgun Dexterity*,Traction,Auto Rifle Scavenger*,Pulse Rifle Scavenger,,
Transversive Steps,2954558333,"""6917529084022271320""",,Exotic,Leg Armor,,Warlock,639,,,Warlock(659),false,false,1,1,,5,10,1,1,1,,New Age Black Armory*,Strange Protractor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Super Mod*,Bomber*,Primary Ammo Finder*,,,,
Reverie Dawn Boots,188778964,"""6917529085171423336""",,Legendary,Leg Armor,dreaming,Warlock,622,Solar Damage Resistance,2,Warlock(659),false,false,2,4,,5,2,1,1,1,,Mobile Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Dynamo*,Rifle Dexterity,Machine Gun Dexterity,Arrow Scavenger*,Pulse Rifle Scavenger
Geomag Stabilizers,2808445048,"""6917529080564624882""",,Exotic,Leg Armor,,Warlock,578,,,Warlock(659),false,false,2,4,,5,11,1,2,1,,Close Enough*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Fusion Rifle Dexterity*,Hand Cannon Dexterity,Sidearm Dexterity,Sidearm Scavenger*,Special Ammo Finder,,,
Prodigal Steps,2767830203,"""6917529086197376463""",,Legendary,Leg Armor,,Warlock,624,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,2,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Traction*,Bomber,Hand Cannon Scavenger*,Special Ammo Finder,,,
Boots of the Fulminator,2193494688,"""6917529097007321767""",,Legendary,Leg Armor,calus,Warlock,658,,,Warlock(659),false,false,1,1,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Energized*,Masterwork Upgrade*,,,,,,
Prodigal Steps,2767830203,"""6917529087196394205""",,Legendary,Leg Armor,,Warlock,630,Arc Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Shotgun Dexterity*,Energy Dexterity,Auto Rifle Scavenger*,Primary Ammo Finder,,,
Scatterhorn Bond,177829853,"""6917529087189722345""",,Legendary,Warlock Bond,tangled,Warlock,648,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Tangled Rust*,Insulation*,Innervation,Rocket Launcher Reserves*,,,,,,
Wing Theorem,327530279,"""6917529085139572435""",,Legendary,Warlock Bond,crucible,Warlock,620,Void Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Frumious Blue*,Insulation*,Innervation,Shotgun Reserves*,Submachine Gun Scavenger,,,,,
Prodigal Bond,2800566014,"""6917529086095562730""",,Legendary,Warlock Bond,,Warlock,621,Arc Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Insulation*,Better Already,Sidearm Reserves*,Heavy Ammo Finder,,,,,,
Iron Fellowship Bond,1164755828,"""6917529086122650758""",,Legendary,Warlock Bond,ironbanner,Warlock,613,Arc Damage Resistance,1,Warlock(659),false,false,2,5,,N/A,N/A,0,0,0,,Tier 1 Armor*,Iron Strength*,Insulation*,Invigoration,Sword Reserves*,Rocket Launcher Scavenger,,,,,
Wing Theorem,327530279,"""6917529086194293331""",,Legendary,Warlock Bond,crucible,Warlock,644,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Crucible Legacy*,Innervation*,Better Already,Pulse Rifle Reserves*,Sidearm Reserves,,,,,
Wing Discipline,185853176,"""6917529085176921672""",,Legendary,Titan Mark,crucible,Titan,474,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,5,2,0,0,0,,Tier 1 Armor*,Crucible Legacy*,Innervation*,Recuperation,Hand Cannon Reserves*,Sidearm Reserves,,,,,
Wing Contender,1069887756,"""6917529096208811612""",,Legendary,Hunter Cloak,crucible,Hunter,645,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Crucible Legacy*,Recuperation*,Better Already,Rocket Launcher Scavenger*,Submachine Gun Scavenger,,,,,
Wing Contender,1069887756,"""6917529088839128667""",,Legendary,Hunter Cloak,crucible,Hunter,650,Solar Damage Resistance,3,Warlock(659),false,false,2,4,,N/A,N/A,0,0,0,,Tier 3 Armor*,Crucible Legacy*,Innervation*,Recuperation,Scout Rifle Reserves*,Fusion Rifle Scavenger,,,,,
Tangled Web Bond,4256272077,"""6917529085787696068""",,Legendary,Warlock Bond,,Warlock,637,Arc Damage Resistance,2,Warlock(659),false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Innervation*,Invigoration,Rocket Launcher Reserves*,Fusion Rifle Scavenger,,,,,,
Prodigal Robes,1553407343,"""6917529097094493449""",,Legendary,Chest Armor,,Warlock,691,Void Damage Resistance,3,Warlock(659),false,false,2,4,,5,1,1,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 3 Armor*,Unflinching Bow Aim*,Unflinching Grenade Launcher Aim,Bow Reserves*,Hand Cannon Reserves,,,
Mask of the Fulminator,2700598111,"""6917529097007314758""",,Legendary,Helmet,calus,Warlock,655,,,Warlock(659),false,true,1,1,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Empowering Largesse*,Radiant Largesse,Embraced Largesse,Masterwork Upgrade*,,,,
Wraps of the Fulminator,2676042150,"""6917529097007317337""",,Legendary,Gauntlets,calus,Warlock,657,,,Warlock(659),false,true,1,1,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Striking Hand,Shielding Hand,Giving Hand*,Masterwork Upgrade*,,,,
Robes of the Fulminator,3592548938,"""6917529097009677154""",,Legendary,Chest Armor,calus,Warlock,658,,,Warlock(659),false,true,1,1,,5,1,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Heavy Hitter*,Masterwork Upgrade*,,,,,,
Lunafaction Boots,2954558332,"""6917529086203350447""",,Exotic,Leg Armor,,Warlock,625,,,Warlock(659),false,true,1,1,,5,27,1,1,1,,Alchemical Etchings*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Outreach*,Primary Ammo Finder*,,,,,,
Shadow's Bond,3763332443,"""6917529097007319505""",,Legendary,Warlock Bond,calus,Warlock,660,,,Warlock(659),false,true,1,1,,N/A,N/A,0,0,0,,Emperor's Shock*,Emperor's Blaze,Emperor's Balance,Masterwork Upgrade*,,,,,,,
Mask of the Quiet One,197761152,"""6917529085176914015""",,Exotic,Helmet,,Titan,449,,,Titan(642),false,false,1,1,,1.3,7,1,0,2,,Precursor Vex Chrome*,Dreaded Visage*,Mobility Enhancement Mod*,Restorative Mod,Thanatonaut's Peril*,Pulse Rifle Targeting*,Special Ammo Finder*,,,,
Prodigal Helm,2753581141,"""6917529088883106988""",,Legendary,Helmet,,Titan,595,Arc Damage Resistance,2,Titan(642),false,false,2,4,,5,2,1,1,1,,Restorative Titan Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Scout Rifle Targeting*,Ashes to Assets,Rocket Launcher Reserves*,Special Ammo Finder,,,
Eternal Warrior,1643575148,"""6917529097041858635""",,Exotic,Helmet,,Titan,690,,,Titan(642),false,false,1,3,,1,5,1,0,2,,Resolute*,Mobility Enhancement Mod*,Restorative Mod,Auto Rifle Targeting,Power Weapon Targeting*,Enhanced Bow Targeting,Fusion Rifle Reserves,Machine Gun Reserves*,,,
Khepri's Horn,510504540,"""6917529096212034309""",,Exotic,Helmet,,Titan,655,,,Titan(642),false,false,1,2,,1,4,0,1,2,,Solar Rampart*,Plasteel Reinforcement Mod*,Restorative Mod,Auto Rifle Targeting,Bow Targeting,Enhanced Hand Cannon Targeting*,Shotgun Reserves*,Heavy Ammo Finder,,,
Vigil of Heroes,1514863327,"""6917529088666845085""",,Legendary,Helmet,strikes,Titan,599,Arc Damage Resistance,2,Titan(642),false,false,2,4,,5,1,1,1,1,,Mobile Titan Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 2 Armor*,Vanguard Veteran*,Submachine Gun Targeting*,Light Reactor,Special Ammo Finder*,Machine Gun Reserves,,
Wing Discipline,2124666626,"""6917529088663672080""",,Legendary,Helmet,crucible,Titan,597,Void Damage Resistance,2,Titan(642),false,false,2,4,,N/A,N/A,1,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Remote Connection*,Power Weapon Targeting,Linear Fusion Rifle Reserves*,Shotgun Reserves,,
Wing Discipline,2124666626,"""6917529097622620995""",,Legendary,Helmet,crucible,Titan,683,Arc Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,0,0,3,,Heavy Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Heavy Lifting*,Remote Connection,Grenade Launcher Reserves*,Special Ammo Finder,,
Prodigal Grasps,2762426792,"""6917529085749174528""",,Legendary,Gauntlets,,Hunter,640,Void Damage Resistance,1,Titan(642),false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,New Age Black Armory*,Sidearm Loader,Fastball*,Rocket Launcher Scavenger,Heavy Ammo Finder*,,
Vigil of Heroes,1490307366,"""6917529088663674900""",,Legendary,Gauntlets,strikes,Titan,599,Arc Damage Resistance,3,Titan(642),false,false,2,4,,N/A,N/A,2,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Vanguard Veteran*,Energy Weapon Loader*,Rifle Loader,Fusion Rifle Scavenger*,Shotgun Scavenger,,
Wing Discipline,1464207979,"""6917529088666844497""",,Legendary,Gauntlets,crucible,Titan,598,Arc Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,2,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Crucible Legacy*,Impact Induction*,Kinetic Weapon Loader,Heavy Ammo Finder*,Machine Gun Scavenger,,
ACD/0 Feedback Fence,1035680664,"""6917529084170688345""",,Exotic,Gauntlets,,Titan,586,,,Titan(642),false,false,1,1,,1,1,0,0,3,,Fury Conductors*,Plasteel Reinforcement Mod*,Restorative Mod,Endless Loop,Fusion Rifle Loader,Hand Cannon Loader*,Impact Induction,Sniper Rifle Scavenger*,Machine Gun Scavenger,,
Prodigal Grasps,2762426792,"""6917529088275229471""",,Legendary,Gauntlets,,Hunter,650,Arc Damage Resistance,1,Titan(642),false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Scout Rifle Loader*,Momentum Transfer,Grenade Launcher Scavenger*,Heavy Ammo Finder,,,
Wing Discipline,1464207979,"""6917529088666847329""",,Legendary,Gauntlets,crucible,Titan,593,Void Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,2,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Crucible Legacy*,Sniper Rifle Loader*,Momentum Transfer,Grenade Launcher Scavenger,Shotgun Scavenger*,,
Grips of the Great Hunt,196235132,"""6917529086266253377""",,Legendary,Gauntlets,lastwish,Hunter,650,Void Damage Resistance,2,Titan(642),false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 2 Armor*,Precursor Vex Chrome*,Hand Cannon Loader,Pulse Rifle Loader,Enhanced Momentum Transfer*,Rocket Launcher Scavenger,Sword Scavenger*,
Wing Discipline,1063904165,"""6917529088666845701""",,Legendary,Chest Armor,crucible,Titan,599,Void Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Metallic*,Unflinching Fusion Rifle Aim*,Unflinching Light Arms Aim,Auto Rifle Reserves*,Submachine Gun Reserves,,
Wing Discipline,1063904165,"""6917529088660833048""",,Legendary,Chest Armor,crucible,Titan,596,Solar Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Unflinching Grenade Launcher Aim*,Unflinching Hand Cannon Aim,Sidearm Reserves*,Primary Ammo Finder,,
Armamentarium,2829609851,"""6917529081092890371""",,Exotic,Chest Armor,,Titan,568,,,Titan(642),false,false,1,3,,5,1,0,1,3,,And Another Thing*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Bow Aim*,Unflinching Fusion Rifle Aim,Unflinching Sniper Aim,Scout Rifle Reserves*,Special Ammo Finder,,,
Actium War Rig,458095281,"""6917529080348884053""",,Exotic,Chest Armor,,Titan,544,,,Titan(642),false,false,1,1,,5,2,1,1,2,,Auto-Loading Link*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Bow Aim*,Unflinching Fusion Rifle Aim,Unflinching Sniper Aim,Scout Rifle Reserves,Special Ammo Finder*,,,
Wing Discipline,1063904165,"""6917529088666842163""",,Legendary,Chest Armor,crucible,Titan,597,Arc Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Unflinching Scout Rifle Aim*,Unflinching Sniper Aim,Scout Rifle Reserves*,Sidearm Reserves,,
Wing Discipline,1063904165,"""6917529088666850120""",,Legendary,Chest Armor,crucible,Titan,598,Solar Damage Resistance,2,Titan(642),false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Unflinching Submachine Gun Aim*,Unflinching Kinetic Aim,Submachine Gun Reserves*,Primary Ammo Finder,,
Vigil of Heroes,335317194,"""6917529088666849259""",,Legendary,Chest Armor,strikes,Titan,578,Void Damage Resistance,2,Titan(642),false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Vanguard Veteran*,Unflinching Hand Cannon Aim*,Unflinching Rifle Aim,Scout Rifle Reserves*,Sidearm Reserves,,
Hallowfire Heart,458095282,"""6917529084985489695""",,Exotic,Chest Armor,,Titan,603,,,Titan(642),false,false,1,1,,4.8,11,2,1,1,,Sunfire Furnace*,Plasteel Reinforcement Mod,Restorative Mod*,Unflinching Bow Aim,Unflinching Fusion Rifle Aim,Unflinching Kinetic Aim*,Scout Rifle Reserves,Special Ammo Finder*,,,
Scatterhorn Strides,2563857333,"""6917529086984600256""",,Legendary,Leg Armor,tangled,Hunter,650,Arc Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Tangled Rust*,Grenade Launcher Dexterity*,Power Dexterity,Primary Ammo Finder*,Special Ammo Finder,,
Wing Discipline,2555965565,"""6917529088663677606""",,Legendary,Leg Armor,crucible,Titan,599,Solar Damage Resistance,2,Titan(642),false,false,2,4,,5,1,2,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Crucible Legacy*,Rocket Launcher Dexterity*,Bomber,Pulse Rifle Scavenger*,Special Ammo Finder,,
Lucky Pants,1245809812,"""6917529080400571057""",,Exotic,Leg Armor,,Hunter,537,,,Titan(642),false,false,1,1,,1.1,5,2,0,1,,Illegally Modded Holster*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Perpetuation*,Primary Ammo Finder*,,,,,,
Prodigal Strides,3397835010,"""6917529086805509850""",,Legendary,Leg Armor,,Hunter,650,Arc Damage Resistance,2,Titan(642),false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Shotgun Dexterity,Oversize Weapon Dexterity*,Hand Cannon Scavenger*,Special Ammo Finder,,,
Vigil of Heroes,1007759904,"""6917529088666842176""",,Legendary,Leg Armor,strikes,Titan,598,Arc Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,3,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Vanguard Veteran*,Traction*,Kinetic Dexterity,Auto Rifle Scavenger*,Submachine Gun Scavenger,,
